problemName,vehicleFileID,cutoffTime,problemType,problemTypeString,numUAVs,numTrucks,requireTruckAtDepot,requireDriver,Etype,ITER,runString,numCustomers,timestamp,ofv,bestBound,totalTime,isOptimal,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20170608T122053358160, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 1604.965232, -1.000000, 0.086119, False, 2, 8, 150.000000, 402.215638 
20170608T121747991951, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 4474.002997, -1.000000, 0.037309, False, 5, 5, 450.000000, 2096.154654 
20170608T122053358160, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 1604.965232, -1.000000, 0.094456, False, 2, 8, 150.000000, 372.215638 
20170608T122053358160, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 1604.965232, -1.000000, 0.138568, False, 2, 8, 150.000000, 372.215638 
20170608T122053358160, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,10, 2024-09-13 14:27:55, 1604.965232, -1.000000, 0.103979, False, 2, 8, 150.000000, 372.215638 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:27:55, 5930.204888, -1.000000, 0.822307, False, 10, 15, 1196.774577, 1101.590031 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 2, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:27:55, 5363.139432, -1.000000, 1.195509, False, 14, 11, 1300.717703, 2904.432218 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 3, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:27:55, 5247.434641, -1.000000, 1.770882, False, 15, 10, 1349.999999, 4531.409993 
20170606T123246328134, 101, 30.000000, 2, mFSTSP Heuristic, 4, -1, True, True, 5, 1, main.py,25, 2024-09-13 14:27:55, 4925.288485, -1.000000, 5.004042, False, 15, 10, 1349.999971, 4715.742282 
20170606T123921635977, 101, 30.000000, 2, mFSTSP Heuristic, 1, -1, True, True, 5, 1, main.py,50, 2024-09-13 14:27:56, 8923.930179, -1.000000, 13.691922, False, 16, 34, 1693.603112, 957.206612 
